data,regiao,produto,categoria,quantidade,preco_unitario,receita
2025-01-01,Norte,Monitor,Eletrônicos,3,1283.15,3849.45
2025-01-01,Sul,Mouse,Periféricos,6,129.54,777.24
2025-01-01,Sudeste,Monitor,Eletrônicos,1,1091.66,1091.66
2025-01-03,Nordeste,Mesa,Móveis,5,868.05,4340.25
2025-01-03,Sudeste,Mesa,Móveis,1,894.31,894.31
2025-01-04,Sudeste,Notebook,Eletrônicos,7,3275.64,22929.48
2025-01-08,Nordeste,Notebook,Eletrônicos,7,3245.77,22720.39
2025-01-08,Sudeste,Cadeira Gamer,Móveis,6,1357.45,8144.7
2025-01-09,Sudeste,Notebook,Eletrônicos,3,3649.28,10947.84
2025-01-09,Sudeste,Cadeira Gamer,Móveis,2,1563.47,3126.94
2025-01-10,Nordeste,Monitor,Eletrônicos,7,1213.06,8491.42
2025-01-10,Norte,Notebook,Eletrônicos,7,3761.72,26332.04
2025-01-10,Sudeste,Cadeira Gamer,Móveis,6,1360.75,8164.5
2025-01-10,Sudeste,Notebook,Eletrônicos,1,3356.34,3356.34
2025-01-12,Nordeste,Monitor,Eletrônicos,7,1091.37,7639.59
2025-01-12,Sul,Mesa,Móveis,7,988.81,6921.67
2025-01-13,Sul,Notebook,Eletrônicos,5,3566.2,17831.0
2025-01-15,Sudeste,Cadeira Gamer,Móveis,1,1399.13,1399.13
2025-01-15,Centro-Oeste,Teclado,Periféricos,2,232.77,465.54
2025-01-16,Sudeste,Monitor,Eletrônicos,1,1180.63,1180.63
2025-01-17,Sudeste,Teclado,Periféricos,4,262.18,1048.72
2025-01-19,Nordeste,Monitor,Eletrônicos,2,1290.41,2580.82
2025-01-19,Sul,Cadeira Gamer,Móveis,1,1398.82,1398.82
2025-01-20,Norte,Monitor,Eletrônicos,2,1220.31,2440.62
2025-01-21,Sudeste,Mouse,Periféricos,3,109.2,327.6
2025-01-22,Sudeste,Notebook,Eletrônicos,3,3520.82,10562.46
2025-01-23,Centro-Oeste,Teclado,Periféricos,1,273.96,273.96
2025-01-23,Sudeste,Cadeira Gamer,Móveis,5,1615.92,8079.6
2025-01-24,Centro-Oeste,Mouse,Periféricos,2,122.66,245.32
2025-01-24,Nordeste,Mouse,Periféricos,4,121.33,485.32
2025-01-25,Nordeste,Cadeira Gamer,Móveis,7,1354.97,9484.79
2025-01-25,Sudeste,Teclado,Periféricos,4,230.02,920.08
2025-01-26,Sudeste,Mesa,Móveis,3,819.17,2457.51
2025-01-27,Sudeste,Cadeira Gamer,Móveis,3,1385.9,4157.7
2025-01-29,Sudeste,Mouse,Periféricos,3,120.77,362.31
2025-02-01,Sudeste,Cadeira Gamer,Móveis,1,1614.11,1614.11
2025-02-01,Sudeste,Mouse,Periféricos,5,129.7,648.5
2025-02-03,Sul,Notebook,Eletrônicos,2,3421.49,6842.98
2025-02-03,Sudeste,Mesa,Móveis,7,902.62,6318.34
2025-02-03,Sul,Teclado,Periféricos,6,251.57,1509.42
2025-02-04,Sudeste,Mouse,Periféricos,6,108.22,649.32
2025-02-04,Sudeste,Teclado,Periféricos,5,237.24,1186.2
2025-02-05,Nordeste,Notebook,Eletrônicos,6,3250.6,19503.6
2025-02-06,Sudeste,Cadeira Gamer,Móveis,3,1359.02,4077.06
2025-02-06,Sul,Monitor,Eletrônicos,1,1092.12,1092.12
2025-02-07,Nordeste,Cadeira Gamer,Móveis,4,1535.03,6140.12
